GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AHY2E001,AHY2E002,AHY2E003,AHY2E004,AHY2E005,AHY2E006,AHY2E007,AHY2E008,AHY2E009,AHY2E010,NAME_M,AHY2M001,AHY2M002,AHY2M003,AHY2M004,AHY2M005,AHY2M006,AHY2M007,AHY2M008,AHY2M009,AHY2M010
"G4803550005801","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005801",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005801",,,"Census Tract 58.01, Nueces County, Texas",6567,6434,67,0,3,0,57,6,0,6,"Census Tract 58.01, Nueces County, Texas",548,552,66,19,6,19,72,11,19,11
"G4803550005802","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005802",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005802",,,"Census Tract 58.02, Nueces County, Texas",7050,6826,54,55,0,0,0,115,78,37,"Census Tract 58.02, Nueces County, Texas",524,536,57,75,19,19,19,137,150,49
"G4803550005900","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"005900",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355005900",,,"Census Tract 59, Nueces County, Texas",3092,2933,0,0,0,0,148,11,3,8,"Census Tract 59, Nueces County, Texas",360,365,13,13,13,13,111,15,6,14
"G4803550006000","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"006000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355006000",,,"Census Tract 60, Nueces County, Texas",2340,2183,0,0,39,0,93,25,25,0,"Census Tract 60, Nueces County, Texas",332,310,13,13,61,13,77,43,43,13
"G4803550006100","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"006100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355006100",,,"Census Tract 61, Nueces County, Texas",3433,3223,19,35,7,0,87,62,28,34,"Census Tract 61, Nueces County, Texas",179,205,18,30,15,13,66,44,35,27
"G4803550006200","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"006200",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355006200",,,"Census Tract 62, Nueces County, Texas",9425,9148,151,0,62,0,51,13,0,13,"Census Tract 62, Nueces County, Texas",1048,1038,173,19,46,19,58,22,19,22
"G4803550006300","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"006300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355006300",,,"Census Tract 63, Nueces County, Texas",2473,2133,221,0,6,0,42,71,0,71,"Census Tract 63, Nueces County, Texas",257,264,154,13,9,13,42,89,13,89
"G4803550006400","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"006400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355006400",,,"Census Tract 64, Nueces County, Texas",2915,2286,529,0,24,0,45,31,0,31,"Census Tract 64, Nueces County, Texas",390,347,207,13,25,13,48,34,13,34
"G4803550980000","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"980000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355980000",,,"Census Tract 9800, Nueces County, Texas",13,13,0,0,0,0,0,0,0,0,"Census Tract 9800, Nueces County, Texas",9,9,13,13,13,13,13,13,13,13
"G4803550990000","2013-2017","TX",,,"Texas","48","Nueces County","355",,,"990000",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48355990000",,,"Census Tract 9900, Nueces County, Texas",0,0,0,0,0,0,0,0,0,0,"Census Tract 9900, Nueces County, Texas",13,13,13,13,13,13,13,13,13,13
"G4803570950100","2013-2017","TX",,,"Texas","48","Ochiltree County","357",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48357950100",,,"Census Tract 9501, Ochiltree County, Texas",1542,1459,0,39,10,0,0,34,0,34,"Census Tract 9501, Ochiltree County, Texas",252,244,13,39,16,13,13,39,13,39
"G4803570950300","2013-2017","TX",,,"Texas","48","Ochiltree County","357",,,"950300",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48357950300",,,"Census Tract 9503, Ochiltree County, Texas",3795,3299,50,49,0,0,306,91,0,91,"Census Tract 9503, Ochiltree County, Texas",350,411,53,48,13,13,229,79,13,79
"G4803570950400","2013-2017","TX",,,"Texas","48","Ochiltree County","357",,,"950400",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48357950400",,,"Census Tract 9504, Ochiltree County, Texas",5147,4490,0,113,12,0,304,228,113,115,"Census Tract 9504, Ochiltree County, Texas",334,413,19,112,20,19,203,141,120,98
"G4803590950100","2013-2017","TX",,,"Texas","48","Oldham County","359",,,"950100",,,,,,,,,,,,,,,,,,,,,,,,,,"14000US48359950100",,,"Census Tract 9501, Oldham County, Texas",2083,1879,134,1,2,0,2,65,3,62,"Census Tract 9501, Oldham County, Texas",0,80,128,5,6,13,3,45,4,44
