GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010
"G4800130960203","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960203",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960203",,,"48013960203","Census Tract 9602.03, Atascosa County, Texas",2809,2070,0,6,0,0,191,542,426,116,"Census Tract 9602.03, Atascosa County, Texas",514,501,15,14,15,15,118,363,304,100
"G4800130960204","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960204",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960204",,,"48013960204","Census Tract 9602.04, Atascosa County, Texas",3093,2483,0,0,0,0,240,370,283,87,"Census Tract 9602.04, Atascosa County, Texas",554,605,15,15,15,15,250,277,235,139
"G4800130960205","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960205",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960205",,,"48013960205","Census Tract 9602.05, Atascosa County, Texas",6041,3311,0,53,0,0,1148,1529,1529,0,"Census Tract 9602.05, Atascosa County, Texas",981,710,21,74,21,21,557,827,827,21
"G4800130960206","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960206",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960206",,,"48013960206","Census Tract 9602.06, Atascosa County, Texas",7141,3642,159,0,0,0,514,2826,2564,262,"Census Tract 9602.06, Atascosa County, Texas",988,777,182,21,21,21,398,1003,926,176
"G4800130960300","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960300",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960300",,,"48013960300","Census Tract 9603, Atascosa County, Texas",3177,1784,34,0,43,0,117,1199,1088,111,"Census Tract 9603, Atascosa County, Texas",160,397,39,15,53,15,106,361,366,134
"G4800130960401","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960401",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960401",,,"48013960401","Census Tract 9604.01, Atascosa County, Texas",2538,1251,19,0,22,0,173,1073,892,181,"Census Tract 9604.01, Atascosa County, Texas",459,317,35,15,48,15,131,363,369,135
"G4800130960403","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960403",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960403",,,"48013960403","Census Tract 9604.03, Atascosa County, Texas",3891,2695,16,0,102,0,221,857,818,39,"Census Tract 9604.03, Atascosa County, Texas",565,618,27,15,92,15,220,469,473,46
"G4800130960404","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960404",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960404",,,"48013960404","Census Tract 9604.04, Atascosa County, Texas",4465,3312,156,10,0,0,53,934,831,103,"Census Tract 9604.04, Atascosa County, Texas",631,710,152,19,15,15,72,600,613,86
"G4800130960500","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960500",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960500",,,"48013960500","Census Tract 9605, Atascosa County, Texas",2763,1825,10,0,0,0,104,824,663,161,"Census Tract 9605, Atascosa County, Texas",532,366,20,15,15,15,112,375,355,202
"G4800130960601","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960601",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960601",,,"48013960601","Census Tract 9606.01, Atascosa County, Texas",1866,1285,1,9,1,0,32,538,448,90,"Census Tract 9606.01, Atascosa County, Texas",527,481,3,14,2,15,45,224,213,73
"G4800130960602","2018-2022","TX",,,"Texas","48","Atascosa County","013",,,"960602",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48013960602",,,"48013960602","Census Tract 9606.02, Atascosa County, Texas",4181,3313,8,0,67,0,208,585,485,100,"Census Tract 9606.02, Atascosa County, Texas",443,606,2,15,104,15,196,329,312,137
"G4800150760100","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760100",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760100",,,"48015760100","Census Tract 7601, Austin County, Texas",2276,1432,286,5,0,0,423,130,37,93,"Census Tract 7601, Austin County, Texas",351,240,133,12,15,15,176,114,45,107
"G4800150760201","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760201",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760201",,,"48015760201","Census Tract 7602.01, Austin County, Texas",2323,1279,473,27,0,0,241,303,215,88,"Census Tract 7602.01, Austin County, Texas",452,267,267,62,15,15,266,183,146,94
"G4800150760202","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760202",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760202",,,"48015760202","Census Tract 7602.02, Austin County, Texas",4006,3106,138,0,0,0,495,267,239,28,"Census Tract 7602.02, Austin County, Texas",439,465,120,15,15,15,258,244,229,33
"G4800150760301","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760301",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760301",,,"48015760301","Census Tract 7603.01, Austin County, Texas",2668,2336,0,0,0,0,11,321,101,220,"Census Tract 7603.01, Austin County, Texas",376,388,15,15,15,15,28,167,137,106
"G4800150760302","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760302",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760302",,,"48015760302","Census Tract 7603.02, Austin County, Texas",5729,3642,427,0,0,0,1225,435,344,91,"Census Tract 7603.02, Austin County, Texas",681,739,268,21,21,21,551,324,303,140
"G4800150760400","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760400",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760400",,,"48015760400","Census Tract 7604, Austin County, Texas",3437,2774,481,0,67,0,59,56,26,30,"Census Tract 7604, Austin County, Texas",414,412,265,15,79,15,65,48,39,30
"G4800150760501","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760501",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760501",,,"48015760501","Census Tract 7605.01, Austin County, Texas",4189,3704,216,16,0,0,39,214,113,101,"Census Tract 7605.01, Austin County, Texas",489,422,155,26,15,15,46,128,91,98
"G4800150760502","2018-2022","TX",,,"Texas","48","Austin County","015",,,"760502",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48015760502",,,"48015760502","Census Tract 7605.02, Austin County, Texas",5778,3889,710,29,80,0,1069,1,1,0,"Census Tract 7605.02, Austin County, Texas",681,636,403,39,113,21,594,3,3,21
"G4800170950101","2018-2022","TX",,,"Texas","48","Bailey County","017",,,"950101",,,,,,,,,,,,,,,,,,,,,,,,,,"1400000US48017950101",,,"48017950101","Census Tract 9501.01, Bailey County, Texas",4452,3897,35,70,72,0,283,95,0,95,"Census Tract 9501.01, Bailey County, Texas",552,649,52,60,60,15,318,95,15,95
