program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016705,48113016705,105,660,20909,21,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016803,48113016803,44,605,21087,20,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016804,48113016804,60,808,24384,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113016902,48113016902,174,406,16089,37,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017001,48113017001,27,485,15925,18,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017003,48113017003,37,586,19150,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017004,48113017004,14,926,29654,24,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017101,48113017101,25,391,14156,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017102,48113017102,11,802,28855,19,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017201,48113017201,89,430,15924,20,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017202,48113017202,154,562,19217,19,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017301,48113017301,81,478,18387,20,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017303,48113017303,34,728,23687,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017304,48113017304,201,656,24276,4,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017305,48113017305,342,626,23597,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017306,48113017306,187,635,23647,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017400,48113017400,25,710,19104,24,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017500,48113017500,26,663,20406,7,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017602,48113017602,16,583,19697,22,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017604,48113017604,20,457,14233,19,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017605,48113017605,12,587,14566,25,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017606,48113017606,33,872,24665,14,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017702,48113017702,121,569,18412,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017703,48113017703,174,482,18924,23,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017704,48113017704,75,561,19142,27,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017804,48113017804,81,449,17861,16,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017805,48113017805,185,490,16829,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017806,48113017806,26,562,19620,14,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017807,48113017807,23,533,19138,6,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017808,48113017808,30,461,16276,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017811,48113017811,11,747,25709,7,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017813,48113017813,34,527,15643,10,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113017900,48113017900,19,579,18970,14,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018001,48113018001,55,376,13786,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018002,48113018002,13,762,26518,15,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018104,48113018104,56,555,20188,10,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018105,48113018105,51,518,17576,7,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018111,48113018111,130,572,20169,17,1,2022,1,0
