code,year,number_reported,tpoverty,poverty_indicator,Total,White_alone,Black_or_African_American_alone,Asian_alone,Some_other_race_alone,Two_or_more_races,Two_races_including_some_other_race,Two_races_excluding_some_other_and_three_plus
48113014115,2013-2017,64.8,10.6,0,7796,3633,1576,1004,1315,268,52,216
48113014121,2013-2017,29.0,9.4,0,4844,3140,312,1141,81,170,0,170
48113014121,2018-2022,19.8,5.0,0,5092,2893,513,1340,147,146,123,23
48113014127,2013-2017,30.5,6.0,0,9734,2250,1176,5785,186,274,0,274
48113014130,2013-2017,61.8,6.2,0,4712,1822,697,1941,94,107,21,86
48113014130,2018-2022,73.4,6.4,0,4118,1184,511,2136,18,184,83,101
48113014131,2013-2017,66.6,10.4,0,4145,1946,750,1140,71,226,27,199
48113014132,2013-2017,236.8,17.6,0,2353,781,697,701,58,116,32,84
48113014132,2018-2022,217.2,16.4,0,2895,740,936,918,135,166,0,166
48113014204,2013-2017,26.666666666666668,38.333333333333336,1,2408,1542,201,295,271,90,5,85
48113014204,2018-2022,15.75,36.5,1,2800,1538,284,558,219,188,80,108
48113014306,2013-2017,20.8,18.4,0,5983,4232,251,274,1058,80,6,74
48113014306,2018-2022,13.0,20.0,0,6253,2843,143,166,2056,1031,934,97
48113014308,2013-2017,12.0,30.0,1,3766,2624,406,112,466,150,18,132
48113014309,2013-2017,52.0,34.8,1,5256,2439,904,604,959,240,118,122
48113014310,2013-2017,133.0,19.6,0,4613,2254,1315,466,444,123,28,95
48113014310,2018-2022,179.0,13.4,0,4760,1938,1645,462,302,413,287,126
48113014312,2013-2017,91.2,5.6,0,5470,2665,705,1589,355,120,13,107
48113014405,2013-2017,15.4,15.4,0,3795,2314,181,165,1101,34,0,34
48113014405,2018-2022,16.0,15.8,0,3529,1367,294,78,1499,259,241,18
48113014407,2013-2017,34.4,16.8,0,5368,2444,1232,313,1304,75,0,75
48113014407,2018-2022,16.25,14.0,0,4953,1310,1017,388,1704,525,389,136
48113014601,2013-2017,16.6,11.6,0,2490,1830,228,20,412,0,0,0
48113014601,2018-2022,28.8,17.4,0,2228,1333,144,13,306,397,254,143
48113014602,2013-2017,23.4,22.2,0,4566,3310,120,90,853,193,41,152
48113014602,2018-2022,20.2,21.4,0,4767,2296,76,205,1120,1033,1004,29
48113014701,2013-2017,13.0,28.0,0,4593,3735,96,205,456,101,87,14
48113014902,2013-2017,13.25,23.25,0,2710,1460,173,47,910,91,57,34
48113015000,2013-2017,17.0,24.0,0,7802,5019,316,301,2144,22,13,9
48113015100,2013-2017,29.2,16.6,0,6474,4636,332,260,840,270,100,170
48113015202,2013-2017,11.0,28.0,0,3954,3060,250,11,315,314,0,314
48113015204,2013-2017,14.0,19.333333333333332,0,7369,5414,300,446,831,266,136,130
48113015205,2013-2017,30.0,26.2,0,4307,3115,289,0,768,127,19,108
48113015205,2018-2022,20.2,27.4,0,3485,1390,156,0,1379,535,503,32
48113015305,2013-2017,36.2,13.0,0,4651,3153,444,102,880,67,9,58
48113015305,2018-2022,29.2,14.0,0,4292,2009,218,411,1349,305,271,34
48113015306,2013-2017,63.4,10.6,0,5205,3152,510,1058,285,194,94,100
48113015403,2013-2017,36.2,24.4,0,3398,2083,921,0,247,147,0,147
48113015403,2018-2022,19.8,22.8,0,3325,1276,1258,0,310,466,49,417
48113015404,2013-2017,121.6,33.6,1,4690,3405,1070,64,64,61,48,13
48113015404,2018-2022,87.8,30.4,1,4199,1751,732,0,1120,596,487,109
48113015500,2013-2017,33.6,27.4,0,3570,2667,507,67,259,66,0,66
48113015500,2018-2022,23.8,19.4,0,3811,1576,469,19,1465,282,282,0
48113015600,2013-2017,14.0,19.0,0,5742,4859,201,98,489,89,88,1
48113015900,2013-2017,120.0,23.0,0,3808,2801,608,92,241,66,47,19
48113015900,2018-2022,91.0,26.4,0,3380,1663,498,48,626,513,401,112
48113016001,2013-2017,25.0,23.4,0,4979,4163,303,0,412,28,0,28
48113016001,2018-2022,15.333333333333334,35.666666666666664,1,4044,1463,112,20,1917,417,384,33
48113016002,2013-2017,38.2,31.4,1,3087,2450,301,31,246,52,9,43
48113016002,2018-2022,33.6,29.4,0,3747,2182,112,0,955,498,451,47
48113016100,2013-2017,128.6,24.6,0,3385,2145,998,0,36,206,22,184
48113016100,2018-2022,81.4,11.8,0,3759,1082,1286,0,1047,336,265,71
48113016201,2013-2017,74.0,19.6,0,4503,3403,782,0,212,100,5,95
48113016201,2018-2022,56.4,8.8,0,4094,1695,512,63,856,968,890,78
48113016202,2013-2017,148.4,23.0,0,6451,5448,830,60,16,97,53,44
48113016301,2013-2017,24.6,15.4,0,7442,5228,893,425,808,52,47,5
48113016301,2018-2022,17.2,12.0,0,6717,2757,577,407,1647,1329,1278,51
48113016302,2013-2017,24.6,18.4,0,2084,1840,46,117,29,39,19,20
48113016302,2018-2022,11.0,21.0,0,1945,858,127,21,808,112,74,38
48113016401,2013-2017,66.6,7.2,0,10987,5733,3166,980,670,371,54,317
48113016406,2013-2017,95.6,21.2,0,5538,3996,859,297,242,144,45,99
48113016406,2018-2022,82.6,19.8,0,4592,1329,841,128,1373,921,771,150
48113016407,2013-2017,72.6,26.4,0,7820,5616,1237,115,693,159,33,126
48113016407,2018-2022,48.8,10.8,0,6871,2798,744,54,1719,1556,1139,417
48113016408,2013-2017,64.8,11.4,0,7836,4907,1455,334,1010,0,0,0
48113016410,2013-2017,16.4,9.2,0,4929,2807,1362,553,56,142,14,128
48113016410,2018-2022,17.8,14.2,0,4803,1870,1441,302,529,612,480,132
48113016411,2013-2017,70.4,8.4,0,9064,5632,2185,727,209,280,89,191
48113016413,2013-2017,13.6,6.8,0,6830,3205,2202,990,335,86,18,68
48113016502,2013-2017,52.0,18.0,0,6608,4454,1771,32,237,114,46,68
48113016509,2013-2017,64.2,10.6,0,6373,3481,2526,30,209,127,20,107
48113016510,2013-2017,146.4,10.8,0,13704,5318,6368,512,1204,231,104,127
48113016511,2013-2017,86.4,19.6,0,4632,1141,2988,85,294,97,79,18
48113016511,2018-2022,67.0,18.8,0,4805,1041,2900,10,549,305,99,206
48113016513,2013-2017,17.6,5.4,0,4889,2720,1846,58,133,120,31,89
